src_ip,dst_ip,src_port,dst_port,length,timestamp,time_delta,is_syn,is_ack,is_fin,is_rst,label,payload_size,ttl
192.168.56.1,192.168.56.102,22,49080,142,1775645637.6184962,0.5362272,0,1,0,0,2,76,128
192.168.56.102,192.168.56.1,15806,80,60,1775645953.9372177,1.823773,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,5041,80,60,1775645963.5515752,11.4381304,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,35798,395,60,1775645415.476084,1.139488,1,0,0,0,1,2,49
192.168.56.1,192.168.56.102,22,49112,614,1775645637.7533028,0.6710338,0,1,0,0,2,548,128
192.168.56.102,192.168.56.1,43020,22,102,1775645256.3175044,558.5773925,0,1,0,0,0,36,64
192.168.56.1,192.168.56.102,22,40660,102,1775645164.9708807,467.2307689,0,1,0,0,0,36,128
192.168.56.1,192.168.56.102,22,49112,99,1775645637.7168822,0.6346132,0,1,0,0,2,33,128
192.168.56.1,192.168.56.102,80,3436,54,1775645972.8679066,20.7544618,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,62818,38292,60,1775645455.1606605,40.8240647,1,0,0,0,1,2,47
192.168.56.102,192.168.56.1,43020,22,102,1775645258.664046,560.9239342,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,65078,22,74,1775645465.6459837,51.3093878,1,0,0,0,1,0,56
192.168.56.102,192.168.56.1,49172,22,89,1775645637.963738,0.881469,0,1,0,0,2,23,64
192.168.56.102,192.168.56.1,1647,80,60,1775645972.7265015,20.6130566,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,2599,80,60,1775645963.364602,11.2511573,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,49148,110,1775645637.8234048,0.7411359,0,1,0,0,2,44,128
192.168.56.102,192.168.56.1,43020,22,110,1775645247.333094,549.5929821,0,1,0,0,0,44,64
192.168.56.1,192.168.56.102,22,43020,102,1775645256.1035094,558.3633975,0,1,0,0,0,36,128
192.168.56.102,192.168.56.1,35796,460,60,1775645414.4102027,0.0736068,1,0,0,0,1,2,59
192.168.56.1,192.168.56.102,22,49148,99,1775645637.7338998,0.6516308,0,1,0,0,2,33,128
192.168.56.1,192.168.56.102,827,35796,54,1775645414.3873825,0.0507865,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,22,49184,110,1775645638.102244,1.0199748,0,1,0,0,2,44,128
192.168.56.1,192.168.56.102,80,16382,54,1775645978.9107797,26.7973347,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,49080,22,66,1775645637.5050445,0.4227755,0,1,0,0,2,0,64
192.168.56.1,192.168.56.102,22,49096,66,1775645637.6084757,0.5262067,0,1,0,0,2,0,128
192.168.56.102,192.168.56.1,35796,547,60,1775645414.3652058,0.0286099,1,0,0,0,1,2,48
192.168.56.1,192.168.56.102,22,40660,222,1775645145.0750144,447.3349026,0,1,0,0,0,156,128
192.168.56.102,192.168.56.1,35796,698,60,1775645415.5071914,1.1705955,1,0,0,0,1,2,45
192.168.56.1,192.168.56.102,22,49080,142,1775645637.6613936,0.5791246,0,1,0,0,2,76,128
192.168.56.1,192.168.56.102,5877,62818,54,1775645456.270785,41.9341894,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,51069,80,60,1775645967.16723,15.0537851,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,44441,80,60,1775645961.4495573,9.3361123,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,8080,52952,66,1775645281.7373695,583.9972576,0,1,0,0,0,0,128
192.168.56.102,192.168.56.1,49184,22,114,1775645638.0541184,0.9718494,0,1,0,0,2,48,64
192.168.56.1,192.168.56.102,22,49160,74,1775645637.8415284,0.7592594,1,1,0,0,2,0,128
192.168.56.1,192.168.56.102,80,53383,54,1775645962.2060463,10.0926016,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,49148,22,74,1775645637.691393,0.6091239,1,0,0,0,2,0,64
192.168.56.102,192.168.56.1,26107,80,60,1775645974.617096,22.5036512,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,43020,22,594,1775645250.5254428,552.785331,0,1,0,0,0,528,64
192.168.56.102,192.168.56.1,65086,80,60,1775645972.5669703,20.4535257,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,43020,22,66,1775645256.183715,558.4436033,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,40660,22,66,1775645165.361802,467.6216903,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,49110,22,82,1775645637.567332,0.485063,0,1,0,0,2,16,64
192.168.56.102,192.168.56.1,43020,22,102,1775645260.1987245,562.4586124,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,40660,22,1514,1775645116.0797973,418.3396852,0,1,0,0,0,1448,64
192.168.56.1,192.168.56.102,22,49110,142,1775645637.6893268,0.6070579,0,1,0,0,2,76,128
192.168.56.102,192.168.56.1,21471,80,60,1775645954.357674,2.2442293,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,49112,22,89,1775645637.6783004,0.5960314,0,1,0,0,2,23,64
192.168.56.1,192.168.56.102,22,43020,102,1775645256.1366596,558.3965477,0,1,0,0,0,36,128
192.168.56.102,192.168.56.1,49112,22,134,1775645637.797487,0.715218,0,1,0,0,2,68,64
192.168.56.102,192.168.56.1,62818,7004,60,1775645455.1075113,40.7709152,1,0,0,0,1,2,47
192.168.56.102,192.168.56.1,52962,8080,147,1775645288.3246503,590.5845383,0,1,0,0,0,81,64
192.168.56.102,192.168.56.1,27101,80,60,1775645965.272241,13.1587962,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,49112,614,1775645637.7533028,0.6710338,0,1,0,0,2,548,128
192.168.56.102,192.168.56.1,49080,22,66,1775645637.6769063,0.5946374,0,1,1,0,2,0,64
192.168.56.102,192.168.56.1,35796,891,60,1775645414.4034336,0.0668378,1,0,0,0,1,2,59
192.168.56.102,192.168.56.1,49080,22,110,1775645637.6051705,0.5229014,0,1,0,0,2,44,64
192.168.56.1,192.168.56.102,726,35796,54,1775645414.3479064,0.0113106,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,43020,22,66,1775645257.3706987,559.6305868,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,62818,19,60,1775645456.269725,41.9331291,1,0,0,0,1,2,51
192.168.56.1,192.168.56.102,22,43020,102,1775645256.3944645,558.6543527,0,1,0,0,0,36,128
192.168.56.1,192.168.56.102,22,40660,66,1775645165.3673923,467.6272804,0,1,0,0,0,0,128
192.168.56.1,192.168.56.102,157,35796,54,1775645415.5301118,1.1935159,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,62818,3283,60,1775645455.0926657,40.7560698,1,0,0,0,1,2,53
192.168.56.1,192.168.56.102,8080,52962,1514,1775645288.32838,590.588268,0,1,0,0,0,1448,128
192.168.56.1,192.168.56.102,9091,62818,54,1775645456.2622273,41.9256313,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,62818,5810,60,1775645455.130606,40.7940102,1,0,0,0,1,2,38
192.168.56.102,192.168.56.1,49080,22,150,1775645637.656253,0.5739841,0,1,0,0,2,84,64
192.168.56.102,192.168.56.1,10550,80,60,1775645973.453385,21.3399402,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,35796,320,60,1775645414.3942928,0.0576968,1,0,0,0,1,2,58
192.168.56.1,192.168.56.102,22,49096,66,1775645637.5085552,0.4262861,0,1,0,0,2,0,128
192.168.56.102,192.168.56.1,35796,229,60,1775645415.5786717,1.2420759,1,0,0,0,1,2,59
192.168.56.1,192.168.56.102,22,49184,99,1775645638.0076644,0.9253955,0,1,0,0,2,33,128
192.168.56.1,192.168.56.102,22,49110,66,1775645637.5085552,0.4262861,0,1,0,0,2,0,128
192.168.56.1,192.168.56.102,1131,62818,54,1775645455.1703644,40.8337684,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,43020,22,66,1775645259.7752273,562.0351152,0,1,0,0,0,0,64
192.168.56.1,192.168.56.102,80,41210,54,1775645966.4121485,14.2987035,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,80,16360,54,1775645964.442986,12.3295413,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,31422,80,60,1775645965.606324,13.4928793,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,49172,1066,1775645638.047083,0.9648138,0,1,0,0,2,1000,128
192.168.56.102,192.168.56.1,15135,80,60,1775645978.824768,26.7113231,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,43020,150,1775645257.3690956,559.6289836,0,1,0,0,0,84,128
192.168.56.1,192.168.56.102,22,43020,150,1775645257.370918,559.630806,0,1,0,0,0,84,128
192.168.56.1,192.168.56.102,25734,62818,54,1775645455.1775603,40.8409644,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,80,33030,54,1775645975.1363003,23.0228557,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,80,17822,54,1775645964.559918,12.4464731,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,80,32812,54,1775645970.504625,18.3911804,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,54328,62818,54,1775645455.0877545,40.7511585,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,22,43020,102,1775645255.8361304,558.0960186,0,1,0,0,0,36,128
192.168.56.102,192.168.56.1,43020,22,102,1775645258.4879973,560.7478855,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,43020,22,66,1775645255.9886434,558.2485315,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,43020,22,102,1775645257.2217507,559.4816389,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,26902,80,60,1775645965.2568867,13.1434419,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,49184,22,74,1775645637.9653351,0.8830663,1,0,0,0,2,0,64
192.168.56.1,192.168.56.102,901,62818,54,1775645455.1038077,40.7672117,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,50002,62818,54,1775645455.0988476,40.7622517,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,49080,22,110,1775645637.6051705,0.5229014,0,1,0,0,2,44,64
192.168.56.1,192.168.56.102,5100,62818,54,1775645455.116861,40.7802651,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,35796,977,60,1775645414.4207778,0.0841819,1,0,0,0,1,2,59
192.168.56.102,192.168.56.1,49172,22,74,1775645637.9625523,0.8802833,1,0,0,0,2,0,64
192.168.56.1,192.168.56.102,899,35796,54,1775645414.4214163,0.0848205,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,36049,80,60,1775645970.6994379,18.585993,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,43020,22,66,1775645257.3679664,559.6278545,0,1,0,0,0,0,64
192.168.56.1,192.168.56.102,9081,62818,54,1775645455.155908,40.8193122,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,40660,22,110,1775645119.9050899,422.1649779,0,1,0,0,0,44,64
192.168.56.102,192.168.56.1,49184,22,82,1775645638.0594091,0.9771403,0,1,0,0,2,16,64
192.168.56.1,192.168.56.102,22,43020,102,1775645258.664257,560.9241451,0,1,0,0,0,36,128
192.168.56.102,192.168.56.1,43020,22,102,1775645258.8341048,561.0939928,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,35796,139,60,1775645414.336859,0.0002631,1,0,0,0,1,2,52
192.168.56.102,192.168.56.1,43020,22,102,1775645258.422361,560.6822491,0,1,0,0,0,36,64
192.168.56.1,192.168.56.102,22,49096,142,1775645637.6501615,0.5678925,0,1,0,0,2,76,128
192.168.56.102,192.168.56.1,49096,22,150,1775645637.656604,0.574335,0,1,0,0,2,84,64
192.168.56.1,192.168.56.102,22,40660,54,1775645165.3736217,467.6335097,0,1,0,1,0,0,128
192.168.56.102,192.168.56.1,62818,6101,60,1775645455.0890875,40.7524915,1,0,0,0,1,2,41
192.168.56.1,192.168.56.102,412,35796,54,1775645414.357393,0.0207971,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,14445,80,60,1775645964.2922225,12.1787777,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,80,2367,54,1775645963.3468204,11.2333755,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,22,49178,614,1775645638.0525072,0.9702383,0,1,0,0,2,548,128
192.168.56.1,192.168.56.102,2607,62818,54,1775645455.095866,40.7592701,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,80,40176,54,1775645961.1721864,9.0587416,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,8080,50016,74,1775645467.1149852,52.7783894,1,1,0,0,1,0,128
192.168.56.102,192.168.56.1,32248,80,60,1775645965.6650264,13.5515815,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,49128,22,114,1775645637.7689652,0.6866961,0,1,0,0,2,48,64
192.168.56.102,192.168.56.1,63913,80,60,1775645957.844316,5.7308713,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,8080,52952,66,1775645281.7356339,583.9955219,0,1,1,0,0,0,128
192.168.56.1,192.168.56.102,22,49112,110,1775645637.7968135,0.7145444,0,1,0,0,2,44,128
192.168.56.1,192.168.56.102,842,35796,54,1775645415.5301044,1.1935084,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,22,43020,614,1775645245.1898627,547.449751,0,1,0,0,0,548,128
192.168.56.102,192.168.56.1,49090,22,158,1775645637.621555,0.5392863,0,1,0,0,2,92,64
192.168.56.102,192.168.56.1,62818,40193,60,1775645455.089275,40.7526791,1,0,0,0,1,2,56
192.168.56.1,192.168.56.102,22,65079,74,1775645465.7891147,51.4525189,1,1,0,0,1,0,128
192.168.56.102,192.168.56.1,62818,4848,60,1775645455.0965836,40.7599878,1,0,0,0,1,2,54
192.168.56.1,192.168.56.102,80,5896,54,1775645968.747472,16.6340272,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,40660,22,66,1775645116.0361264,418.2960144,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,49160,22,134,1775645637.9490263,0.8667573,0,1,0,0,2,68,64
192.168.56.1,192.168.56.102,8080,52952,1514,1775645281.7355452,583.9954333,0,1,0,0,0,1448,128
192.168.56.102,192.168.56.1,35798,16,60,1775645415.4769037,1.1403076,1,0,0,0,1,2,58
192.168.56.102,192.168.56.1,35796,400,60,1775645414.4211483,0.0845525,1,0,0,0,1,2,43
192.168.56.102,192.168.56.1,49184,22,110,1775645638.1015599,1.0192908,0,1,0,0,2,44,64
192.168.56.1,192.168.56.102,80,49757,54,1775645956.7147827,4.6013378,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,1074,62818,54,1775645455.1125405,40.7759446,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,49080,22,150,1775645637.656253,0.5739841,0,1,0,0,2,84,64
192.168.56.102,192.168.56.1,40660,22,66,1775645122.726097,424.9859851,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,48284,80,60,1775645966.9508867,14.8374419,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,40660,22,99,1775645116.043071,418.3029591,0,1,0,0,0,33,64
192.168.56.102,192.168.56.1,49080,22,82,1775645637.5640228,0.4817539,0,1,0,0,2,16,64
192.168.56.102,192.168.56.1,35796,617,60,1775645414.3863215,0.0497256,1,0,0,0,1,2,57
192.168.56.1,192.168.56.102,22,49096,66,1775645637.692486,0.610217,0,1,0,0,2,0,128
192.168.56.102,192.168.56.1,43020,22,102,1775645259.4589317,561.7188196,0,1,0,0,0,36,64
192.168.56.1,192.168.56.102,22,43020,150,1775645257.3687618,559.6286499,0,1,0,0,0,84,128
192.168.56.102,192.168.56.1,26809,80,60,1775645960.1479356,8.0344908,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,80,27263,54,1775645974.705567,22.592122,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,62818,2105,60,1775645455.1367433,40.8001473,1,0,0,0,1,2,45
192.168.56.1,192.168.56.102,22,43020,166,1775645257.3676355,559.6275237,0,1,0,0,0,100,128
192.168.56.102,192.168.56.1,49080,22,150,1775645637.6130972,0.5308283,0,1,0,0,2,84,64
192.168.56.1,192.168.56.102,79,35796,54,1775645414.3411624,0.0045664,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,62818,3001,60,1775645455.1460447,40.8094489,1,0,0,0,1,2,59
192.168.56.1,192.168.56.102,22,40660,102,1775645164.9016292,467.1615173,0,1,0,0,0,36,128
192.168.56.1,192.168.56.102,22,49110,99,1775645637.5119672,0.4296982,0,1,0,0,2,33,128
192.168.56.102,192.168.56.1,43020,22,102,1775645257.3582969,559.6181849,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,49128,22,82,1775645637.7735837,0.6913147,0,1,0,0,2,16,64
192.168.56.1,192.168.56.102,80,33927,54,1775645970.5742693,18.4608244,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,49096,22,66,1775645637.6905456,0.6082765,0,1,1,0,2,0,64
192.168.56.102,192.168.56.1,40660,22,66,1775645145.0561595,447.3160476,0,1,0,0,0,0,64
192.168.56.1,192.168.56.102,187,35796,54,1775645414.395512,0.0589163,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,585,35796,54,1775645414.379959,0.0433632,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,21658,80,60,1775645974.2910557,22.1776109,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,49156,54,1775645637.9429302,0.8606612,0,1,0,1,2,0,128
192.168.56.1,192.168.56.102,22,43020,158,1775645257.3734708,559.6333589,0,1,0,0,0,92,128
192.168.56.102,192.168.56.1,49090,22,150,1775645637.6326132,0.5503441,0,1,0,0,2,84,64
192.168.56.102,192.168.56.1,43020,22,102,1775645259.5732763,561.8331646,0,1,0,0,0,36,64
192.168.56.1,192.168.56.102,22,43020,102,1775645259.7746973,562.0345855,0,1,0,0,0,36,128
192.168.56.1,192.168.56.102,7625,62818,54,1775645455.1955564,40.8589604,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,43020,22,102,1775645260.1987245,562.4586124,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,43020,22,66,1775645257.372164,559.6320521,0,1,0,0,0,0,64
192.168.56.1,192.168.56.102,22,49160,110,1775645637.9481692,0.8659002,0,1,0,0,2,44,128
192.168.56.102,192.168.56.1,52976,8080,147,1775645291.2037587,593.4636467,0,1,0,0,0,81,64
192.168.56.102,192.168.56.1,43020,22,102,1775645255.558857,557.8187451,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,49160,22,89,1775645637.8423269,0.7600578,0,1,0,0,2,23,64
192.168.56.1,192.168.56.102,80,52481,54,1775645967.2781177,15.1646728,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,62818,5730,60,1775645455.1462772,40.8096813,1,0,0,0,1,2,56
192.168.56.1,192.168.56.102,8080,52952,1514,1775645281.7355452,583.9954333,0,1,0,0,0,1448,128
192.168.56.1,192.168.56.102,22,43020,102,1775645256.0799549,558.3398429,0,1,0,0,0,36,128
192.168.56.1,192.168.56.102,22,49196,99,1775645638.0170617,0.9347928,0,1,0,0,2,33,128
192.168.56.1,192.168.56.102,80,58292,54,1775645962.5881095,10.4746647,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,48267,80,60,1775645971.4865632,19.3731185,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,5989,62818,54,1775645455.1558907,40.8192948,0,1,0,1,1,0,128
192.168.56.1,192.168.56.102,22,49128,54,1775645637.8207188,0.7384498,0,1,0,1,2,0,128
192.168.56.1,192.168.56.102,22,49178,1066,1775645638.0449667,0.9626977,0,1,0,0,2,1000,128
192.168.56.102,192.168.56.1,51740,80,60,1775645956.877555,4.76411,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,49130,66,1775645637.8233273,0.7410583,0,1,0,0,2,0,128
192.168.56.1,192.168.56.102,22,43020,142,1775645247.347168,549.607056,0,1,0,0,0,76,128
192.168.56.1,192.168.56.102,8080,52708,222,1775644697.7604115,0.0202997,0,1,0,0,0,156,128
192.168.56.102,192.168.56.1,32983,80,60,1775645955.260404,3.1469591,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,49178,22,134,1775645638.0968215,1.0145527,0,1,0,0,2,68,64
192.168.56.102,192.168.56.1,62818,8007,60,1775645455.176402,40.8398061,1,0,0,0,1,2,54
192.168.56.102,192.168.56.1,9966,80,60,1775645958.8093512,6.6959064,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,2559,80,60,1775645963.3600547,11.24661,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,43020,102,1775645260.285936,562.5458242,0,1,0,0,0,36,128
192.168.56.102,192.168.56.1,49080,22,150,1775645637.6321983,0.5499295,0,1,0,0,2,84,64
192.168.56.102,192.168.56.1,49110,22,66,1775645637.5127738,0.4305048,0,1,0,0,2,0,64
192.168.56.102,192.168.56.1,49196,22,134,1775645638.1076136,1.0253447,0,1,0,0,2,68,64
192.168.56.102,192.168.56.1,43020,22,102,1775645256.90936,559.1692481,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,26027,80,60,1775645970.0731895,17.9597449,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,43020,102,1775645255.988134,558.2480221,0,1,0,0,0,36,128
192.168.56.102,192.168.56.1,35796,814,60,1775645414.369831,0.0332352,1,0,0,0,1,2,41
